Nama Event,Lokasi,Kategori,Tanggal Mulai,Tanggal Selesai,Deskripsi,URL Detail
Festival Krakatau,Lampung Selatan | Lampung,Event Budaya,05 Juli 2025,06 Juli 2025, Festival Krakatau adalah sebuah event atraksi kepariwisataan yang menampilkan keragaman penampilan kebudayaan asli masyarakat Lampung yang biasanya di jumpai dalam acara adat tertentu dalam menyambut idul fitri 1 syawal.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-krakatau-2
Festival Pesona Mentawai,Kepulauan Mentawai | Sumatera Barat,Event Budaya,17 Juli 2025,20 Juli 2025," Festival Pesona Mentawai (FPM) 2025, yang memasuki edisi ke-6, merupakan acara tahunan yang diselenggarakan. Festival ini dilaksanakanaki di Desa Wisata MapaddegatTuapeijat, dengan fokus pada pengembangan homestay.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-pesona-mentawai
Samosir Music International,Samosir | Sumatera Utara,Event Musik,18 Juli 2025,20 Juli 2025," Samosir Music International (SMI) adalah sebuah festival musik yang merayakan kekayaan budaya dan musik dari Tanah Batak, Sumatra Utara. Festival ini memberikan dampak positif bagi semua yang terlibat, dan kami mengundang Anda untuk menjadi bagian dari perjalanan musik",https://eventdaerah.kemenparekraf.go.id/detail-event/samosir-music-international-2
Kenduri Seni Melayu,Batam | Kepulauan Riau,Event Budaya,19 Juli 2025,21 Juli 2025," Tema untuk tahun 2025 adalah ""Membalut Seni Dalam Tradisi"", yang berfokus pada pementasan tari, musik, teater, puisi, permainan rakyat, dan kuliner. Acara ini menawarkan pendekatan yang inovatif, unik, dan berdaya saing, den",https://eventdaerah.kemenparekraf.go.id/detail-event/kenduri-seni-melayu-2
Payakumbuah Botuang Festival,Payakumbuh | Sumatera Barat,Event Budaya,25 Juli 2025,27 Juli 2025," Aims to be a modern day festival in Australia, Australia and New Zealand. The event will be held on August 31, 2015. The first time the event has been held in a public event in Australia.",https://eventdaerah.kemenparekraf.go.id/detail-event/payakumbuah-botuang-festival
Tapin Art Fest,Tapin | Kalimantan Selatan,Event Seni,01 Agustus 2025,07 Agustus 2025," Tapin Art Fest menyuguhkan instalasi artistik berbahan bambu, bazar kerajinan dan kuliner. Event diadakan untuk melestarikan kebudayaan Kalimantan di kabupaten tapin.",https://eventdaerah.kemenparekraf.go.id/detail-event/tapin-art-fest
Pacu Jalur Tradisional,Kuantan Singingi | Riau,Event Budaya,20 Agustus 2025,25 Agustus 2025," Festival Pacu Jalur adalah acara budaya tahunan di Kabupaten Kuantan Singingi, yang merayakan tradisi yang telah ada selama berabad-abad. Awalnya diadakan untuk memperingati hari-hari besar Islam, kemudian dilanjutkan pada masa penjajahan Belanda.",https://eventdaerah.kemenparekraf.go.id/detail-event/pacu-jalur-tradisional
Festival Budaya Sa-ijaan “Magic From The Sea”,Kotabaru | Kalimantan Selatan,Event Budaya,21 Agustus 2025,25 Agustus 2025," Festival Budaya Sa-ijaan “Magic From The Sea” (FBS#11_2025) adalah sebuah event unggulan Kabupaten Kotabaru. Event ini mengangkat tema “EKPRESIKAN MERDEKA, LAUT DAN BUDAYA KITA JAGA”.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-budaya-sa-ijaan-magic-sea
Aceh Perkusi,Lhokseumawe | Aceh,Event Musik,22 Agustus 2025,24 Agustus 2025," Aceh Perkusi 2025 bertujuan untuk menjaga kelestarian tradisi musik perkusi Aceh. Event ini menjadi platform untuk edukasi, kreativitas, dan pertukaran budaya, mendorong kolaborasi lintas daerah dan negara.",https://eventdaerah.kemenparekraf.go.id/detail-event/aceh-perkusi-2
Festival Perahu Bidar Tradisional,Palembang | Sumatera Selatan,Event Budaya,22 Agustus 2025,24 Agustus 2025, Festival Perahu Bidar Tradisional 2025 akan kembali meriah dengan kompetisi mendayung di Sungai Musi. Event ini akan digelar dalam rangka memperingati HUT Kemerdekaan Republik Indonesia.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-perahu-bidar-tradisional-2
Karang Asam Festiva,Muara Enim | Sumatera Selatan,Event Budaya,01 September 2025,07 September 2025," Karang Asam Festival kembali hadir pada 2025, dengan tema ""Labyrinth Of Culture"" (LOC) yang menggambarkan budaya Sumatera Selatan. Festival pertama yang digagas oleh masyarakat ini telah sukses diselenggarakan tiga kali sejak 2022.",https://eventdaerah.kemenparekraf.go.id/detail-event/karang-asam-festiva
Sawahlunto International Songket Silungkang Carnival (SISSCa),Sawahlunto | Sumatera Barat,Event Karnaval,06 September 2025,07 September 2025, Sawahlunto International Songket Silungkang Carnival (SISSCa) adalah acara budaya yang wajib dikunjungi. Festival ini bertujuan untuk meningkatkan kunjungan wisata dan mempromosikan ekonomi kreatif.,https://eventdaerah.kemenparekraf.go.id/detail-event/sawahlunto-international-songket-silungkang-carnival-sissca
Kenduri Riau,Pekanbaru | Riau,Event Budaya,19 September 2025,22 September 2025," Kenduri Riau adalah acara tahunan yang dirancang untuk menyatukan dan memamerkan pertumbuhan. Pekanbaru semakin berkembang menjadi pusat kreativitas, sentra untuk Meetings, Incentives, Conventions, and Exhibitions (MICE)",https://eventdaerah.kemenparekraf.go.id/detail-event/kenduri-riau-3
Balikpapan Fest,Balikpapan | Kalimantan Timur,Event Budaya,25 September 2025,28 September 2025, Balikpapan Fest ke 6 sudah menjadi daya tarik wisatawan dengan day akan. Daya menampilkan kearifan lokal dengan konsep berbeda kolaborasi modern.,https://eventdaerah.kemenparekraf.go.id/detail-event/balikpapan-fest-3
Seren Taun Kasepuhan Cisungsang,Lebak | Banten,Event Budaya,29 September 2025,06 Oktober 2025, Eksistensi masyarakat adat kasepuhan di Kabupaten Lebak yang didukung oleh pemerintah berimplikasi terhadap kuatnya identitas dan jatidiri asli. Ritual Seren Taun merupakakan bentuk ecotourism dan culture tourism yang cakupanya sangat luas,https://eventdaerah.kemenparekraf.go.id/detail-event/seren-taun-kasepuhan-cisungsang-2
Iraw Tengkayu,Tarakan | Kalimantan Utara,Event Budaya,11 Oktober 2025,12 Oktober 2025," Iraw Tengkayu adalah Festival Kebudayaan daerah yang diadakan di Kota Tarakan, Kalimantan Utara. Festival ini merupakan simbol rasa syukur masyarakat atas hasil laut.",https://eventdaerah.kemenparekraf.go.id/detail-event/iraw-tengkayu-3
Festival Bekudo Bono,Pelalawan | Riau,Event Budaya,10 November 2025,12 November 2025, Festival Bekudo Bono adalah event tahunan yang bertujuan untuk mempromosikan kawasan wisata ombak Bono. Ombak ini merupakan salah satu dari gelombang tidal bore yang terjadi di dunia.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-bekudo-bono
Festival Minangkabau,Tanah Datar | Sumatera Barat,Event Budaya,04 Desember 2025,06 Desember 2025," Festival Minangkabau ini hadir sebagai ajang yang memadukan keindahan seni pertunjukan, kerajinan lokal, dan kuliner khas yang menggugah selera. Festival ini bertujuan untuk meningkatkan kesadaran tentang pentingnya melestarikan budaya Minang.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-minangkabau
Grebeg Sudiro,Surakarta | Jawa Tengah,Event Karnaval,16 Januari 2026,31 Januari 2026," Grebeg Sudiro 2025 adalah acara budaya dan pariwisata yang merayakakan semangat harmoni, kreativitas, dan akulturasi budaya di kawasan bersejarah Pasar Gede dan Kampung Pecinan, Surakarta.",https://eventdaerah.kemenparekraf.go.id/detail-event/grebeg-sudiro-2
Sabang Marine Festival,Sabang | Aceh,Event Budaya,01 Maret 2026,03 Maret 2026, Sabang Marine Festival adalah perhelatan tahunan yang telah diselenggarakan sejak  2015 untuk mempromosikan Sabang. The festival adalalahir sebagai perayaan budaya bahari paling semarak di Aceh.,https://eventdaerah.kemenparekraf.go.id/detail-event/sabang-marine-festival-2
Aceh Ramadhan Festival,Banda Aceh | Aceh,Event Budaya,12 Maret 2026,17 Maret 2026," Aceh Ramadhan Festival 2025 is a landmark event untuk menarik wisatawan, terutama para Muslim traveler. Pemerintah Aceh melalui Dinas Kebudayaan dan Pariwisata Aceh telah menyelenggarakan festival ini. Festival ini menawarkan pengalaman budaya Aceh yang khas.",https://eventdaerah.kemenparekraf.go.id/detail-event/aceh-ramadhan-festival-3
Festival Bale Nagi,Flores Timur | Nusa Tenggara Timur,Event Budaya,02 April 2026,06 April 2026," Festival Bale Nagi merupakan event yang terlahir dari tradisi pulang kampung (bale nagi) Semana Santa berarti Pekan Suci memperingati sengsara, wafat, dan kebangkitan Yesus Kristus, Putra Allah.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-bale-nagi-2
Festival Tumbilotohe,Gorontalo | Gorontalo,Event Budaya,06 April 2026,09 April 2026," Festival Tumbilotohe merupakakan tradisi tahunan perayaan berupa memasang lampu botol di halaman rumah-rumah penduduk, dan dijalanan yg menandakan berakhirnya Ramadhan di Gorontalo.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-tumbilotohe-2
Festival Rimpu Mantika,Bima | Nusa Tenggara Barat,Event Budaya,24 April 2026,26 April 2026, Festival Rimpu Mantika merupakakan promosi pariwisata melalui pelestarian budaya yang disertai peran serta para pelaku ekonomi kreatif guna meningkatkan perekonomian masyarakat dan kunjungan wisatawan.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-rimpu-mantika-2
Festival Semarapura,Klungkung | Bali,Event Budaya,28 April 2026,01 Mei 2026, Festival Semarapura dilaksanakan untuk merayakan hari lahirnya. Puputan Klungkung yang merupakan puncak perang perang habis-habisan Kerajaan.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-semarapura
Seba Baduy,Lebak | Banten,Event Budaya,28 April 2026,30 April 2026," Seba Baduy dilaksanakan setelah kegiatan ritual tahunan, yang dimaksudkan untuk menyerahkan hasil bumi. Event ini akan didukung dengan acara pendukung.",https://eventdaerah.kemenparekraf.go.id/detail-event/seba-baduy
Festival Rujak Uleg,Surabaya | Jawa Timur,Event Kuliner,06 Mei 2026,06 Mei 2026, Festival Rujak Uleg merupakakan rujak terbesar yang menjadi agenda rutin Pemerintah Kota Surabaya sejak tahun 2004. Festival ini diikuti oleh kurang lebih seribu peserta.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-rujak-uleg
Pesona Belitung Beach Festival,Belitung | Kepulauan Bangka Belitung,Event Budaya,08 Mei 2026,12 Mei 2026," Pesona Belitung Beach Festival 2025 adalalah sebuah perayaan yang merayakan keberagaman seni dan budaya pesisir Pulau Belitun. Event ini menampilkan berbagai pertunjukan pertunja, didukung dengan pameran produk ekonomi kreatif, kuliner.",https://eventdaerah.kemenparekraf.go.id/detail-event/pesona-belitung-beach-festival-2
Gelar Melayu Serumpun,Medan | Sumatera Utara,Event Budaya,16 Mei 2026,19 Mei 2026," Event “Gelar Melayu Serumpun’ adalalahmi mempertemukan etnis Melaysu dari berbagai wilayah dan negara, dengan budaya lainnya. Kegiatan ini melibatkan beberapa negara tetangga.",https://eventdaerah.kemenparekraf.go.id/detail-event/gelar-melayu-serumpun
Festival Sriwijaya,Palembang | Sumatera Selatan,Event Budaya,16 Mei 2026,18 Mei 2026, Festival Sriwijaya 2025 mengusung tema ‘The Kingdom of Achipelago’ yang merupakakan untuk kumpulan pulau atau gugusan beberapa pulau dari Laut Indo-China sampai dengan kepulauan Nusantara.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-sriwijaya-3
Festival Budaya Isen Mulang,Palangkaraya | Kalimantan Tengah,Event Budaya,18 Mei 2026,23 Mei 2026, Festival Budaya Isen Mulang (FBIM) ini diikuti oleh perwakilan dari 14 Pemerintah Kabupaten/Kota se-Kalimantan Tengah. Festival ini merupakakan momen untuk memperkenalkan ragam atraksi budaya daerah.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-budaya-isen-mulang-2
Eksotika Bromo,Pasuruan | Jawa Timur,Event Budaya,20 Mei 2026,21 Mei 2026, Eksotika Bromo merupakan festival yang diselenggarakan untuk menyambut Yadnya Kasada (Ritual Rasa Syukur Suku Tengger kepada pencipta) Festival ini mengundang pelaku seni dan budaya dari berbagai daerah.,https://eventdaerah.kemenparekraf.go.id/detail-event/eksotika-bromo
Keroncong Plesiran,Kulon Progo | Daerah Istimewa Yogyakarta,Event Musik,24 Mei 2026,24 Mei 2026," Keroncong Plesiran merupakan sebuah pertunjukan musik keroncong yang memberikan pengalaman estetis berupa kebebasan berekspresi dan berimprovisasi. Festival KeronCong muda ini menghadirkan grub musik asli, keronCong modern, hingga keronconcong.",https://eventdaerah.kemenparekraf.go.id/detail-event/keroncong-plesiran-3
Timika Inside Festival of Art,Mimika | Papua,Event Budaya,25 Mei 2026,27 Mei 2026," Timika Inside Festival of Art (TIFA) 2023 yang diselenggarakan di Gedung Eme Neme Neme Yauware, Timika, Kabupaten Mimika, Provinsi Papua Tengah.",https://eventdaerah.kemenparekraf.go.id/detail-event/timika-inside-festival-art
Festival Teluk Jailolo,Halmahera Barat | Maluku Utara,Event Budaya,28 Mei 2026,31 Mei 2026, Festival Teluk Jailolo merupakakan salah satu event promosi pariwisata dan budaya tahunan di Kabupaten Halmahera Barat. Main program yang akan ditampilkan diantaranya :. Ritual Sigofi Ngolo (Upacara Tradisi Bersih Laut Untuk Tolak Bala) Ritual Makan Adat Suku Sahu,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-teluk-jailolo-2
Festival Salo Karajae,Pare Pare | Sulawesi Selatan,Event Budaya,31 Mei 2026,04 Juni 2026," Festival Salo Karajae merupakan Event Tahunan yang diselenggarakan untuk mempromosikan pariwisata Sulawesi Selatan, khususnya Kota Parepare. Pelaksanaan event berlangsung di kawasan wisata Tonrangeng River Side.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-salo-karajae
Semasa Piknik,Adm. Jakarta Pusat | Dki Jakarta,Event Budaya,31 Mei 2026,02 Juni 2026," Semasa Piknik adalah kegiatan Semasa yang menggabungkan antara pelaku kreatif ekonomi, seni budaya, serta komunitas sejarah bertemakan piknik di Jakarta.",https://eventdaerah.kemenparekraf.go.id/detail-event/semasa-piknik-2
Kenduri Seni Melayu,Batam | Kepulauan Riau,Event Budaya,07 Juni 2026,09 Juni 2026," Kenduri Seni Melayu (KSM) adalah ekspresi seni budaya yang berakar pada pemikiran dan emosi budaya sejak 1999 silam. KSM sangat dinantikan, khususnya oleh negara-negara serumpun. Event ini digelar untuk menggali, dan melestarikan budaya.",https://eventdaerah.kemenparekraf.go.id/detail-event/kenduri-seni-melayu
Festival Bakar Tongkang,Rokan Hilir | Riau,Event Budaya,10 Juni 2026,12 Juni 2026," Festival Bakar Tongkang adalah perayaan tradisi yang kaya akan sejarah dan budaya. Diselenggarakan setiap tahun di Bagansiapiapi, festival ini menampilkan ritual pembakaran tongkang yang sarat dengan doa.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-bakar-tongkang-3
Pesta Kesenian Bali,Denpasar | Bali,Event Budaya,15 Juni 2026,13 Juli 2026, Pesta Kesenian Bali (PKB) telah menjadi ruang aktualisasi nilai-nilai luhur dan seni budaya berbasis lokalitas. PKB XLVI Tahun 2024 mengusung tema Jana Kerthi: Paramaguna Wikrama (Harkat Martabat Manusia Unggul),https://eventdaerah.kemenparekraf.go.id/detail-event/pesta-kesenian-bali-2
Geopark Night Specta,Gunungkidul | Daerah Istimewa Yogyakarta,Event Budaya,17 Juni 2026,17 Juni 2026," Geopark Night Specta Vol 5 merupakakan event yang dirancang untuk menghargai kebumian serta. Event yang ada di Gunung Sewu UNESCO Global Geoparks Geoarea Gunungkidul. Pada tahun 2023 mengusung tema ""1 Dasawarsa Gunungsewu"".",https://eventdaerah.kemenparekraf.go.id/detail-event/geopark-night-specta
Festival Budaya Sekala Bekhak,Lampung Barat | Lampung,Event Budaya,18 Juni 2026,20 Juni 2026, Festival Budaya Sekala Bekhak 2023 ini menetapkan icon tetap festival ini “SEKura the mask of Nation’s” Festival ini juga menyajikan paket-paket wisata untuk mengunjungi keindahan Lampung Barat yang puncak perjalanannya.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-budaya-sekala-bekhak
Festival Gurita,Kaur | Bengkulu,Event Kuliner,21 Juni 2026,23 Juni 2026, Festival Gurita adalah event tahunan yang selalu ditunggu-tunggu di Kabupaten Kaur. Gurita merupakan salah satu komoditi ikonik sumber pendapatan nelayan tradisional. Event ini pernah memecahahkan rekor MURI 2022 untuk Sate Gurita terbaik.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-gurita-2
East Java Fashion Harmony,Tulungagung | Jawa Timur,Event Karnaval,22 Juni 2026,22 Juni 2026," Wastra merupakakan peninggalan kebudayaan Indonesia yang telah dikenal, diakui oleh dunia, dan patut dilestarikan.",https://eventdaerah.kemenparekraf.go.id/detail-event/east-java-fashion-harmony-2
Tubaba Art Festival,Tulang Bawang Barat | Lampung,Event Seni,24 Juni 2026,26 Juni 2026, Tubaba Art Festival (TAF) adalah festival berbasis kreativitas warga Tubaba yang diselenggarakan setiap tahun. Festival ini merupakakan media presentasi akhir kelas-kelas kesenian bagi bagi warga (kemudian dikenal sebagai Sekolah Tubaba),https://eventdaerah.kemenparekraf.go.id/detail-event/tubaba-art-festival-3
Festival Tabut,Bengkulu | Bengkulu,Event Budaya,27 Juni 2026,06 Juli 2026, Festival Tabut merupakakan event budaya ikonik Provinsi Bengkulu yang menampikan tradisional kemeriahan perayaan tahun barus Islam dengan karnaval bangunan tabut. Puncaknya adalah pada hari ke-10 yaitu arakan/karnaval tabut tebuang.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-tabut-3
Wolobobo Ngada Festival,Ngada | Nusa Tenggara Timur,Event Budaya,28 Juni 2026,30 Juni 2026," Wolobobo Ngada Festival (WNF) 2023 mengusung tema ‘Kopi, Tenun, Bambu’ Tema ini dipilih untuk menampilkan kekayaan alam dan budaya Ngada. Tenun Ngada yang khas dan berkarakter kuat kini kian meroket.",https://eventdaerah.kemenparekraf.go.id/detail-event/wolobobo-ngada-festival
Festival Nasional Reog Ponorogo,Ponorogo | Jawa Timur,Event Budaya,28 Juni 2026,07 Juli 2026, Festival Nasional Reog Ponorgo (FNRP) merupakakan sebuah festival budaya yang mengangkat ikon Kabupaten Ponorogo yang telah dikenal luas oleh masyarakat. Penyelenggaraan FNRP tahun ini diharapkan dapat menggerakan peningkatan perekonomian.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-nasional-reog-ponorogo-2
MADA Fest,Bangka | Kepulauan Bangka Belitung,Event Karnaval,29 Juni 2026,30 Juni 2026," Matras Adat Budaya Festival atau MADA Fest merupakakan event yang diselenggarakan oleh komunitas kreatif, Rumah Kreatif Matras (RUKEM), berkolaborasi dengan pemerintah daerah dalam rangka pengembangan pariwisata sekaligus pelestarian adat dan seni.",https://eventdaerah.kemenparekraf.go.id/detail-event/mada-fest-2
Festival Bunga dan Buah Karo,Karo | Sumatera Utara,Event Karnaval,03 Juli 2026,05 Juli 2026," Festival Bunga dan Buah Karo adalah perayaan spektakuler yang menonjolkan kekayaan alam dan budaya Kabupaten Karo, Sumatera Utara. Festival ini merayakan hasil pertanian lokal, terutama bunga dan buah-buahan, sambil menggali aspek budaya dan tradisi.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-bunga-dan-buah-karo-2
Festival Rontek Pacitan,Pacitan | Jawa Timur,Event Budaya,04 Juli 2026,06 Juli 2026," Festival Ronthek Pacitan 2024 akan digelar bersamaan dengan Gelar Produk Ekraf dan UMKM secara massal yang akan memamerkan berbagai macam produk. Festival tahun ini akan dibuka untuk umum, bukan lagi hanya perwakilan desa, atau kecamatan.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-ronthek-pacitan
Festival Batanghari,Jambi | Jambi,Event Budaya,05 Juli 2026,08 Juli 2026, Keberadaan sungai yang berada dan membelah pusat kota ini menjadi salah satu destinasi wisata yang ramai dikunjungi terutam.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-batanghari-2
Festival Krakatau,Lampung Selatan | Lampung,Event Budaya,05 Juli 2026,06 Juli 2026, Festival Krakatau adalah sebuah event atraksi kepariwisataan yang menampilkan keragaman penampilan kebudayaan asli masyarakat Lampung yang biasanya di jumpai dalam acara adat tertentu dalam menyambut idul fitri 1 syawal.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-krakatau-2
Festival Krakatau,Bandar Lampung | Lampung,Event Budaya,05 Juli 2026,07 Juli 2026, K-Fest (Festival Krakatau) Tahun 2024 mengangkat tema ‘Nemui Nyimah’ yang merupakakan salah satu nilai falsafah hidup yang sudah tertanam dalam kehidupan Masyarakat Adat Lampung.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-krakatau
Banyuwangi Ethno Carnival,Banyuwangi | Jawa Timur,Event Karnaval,08 Juli 2026,08 Juli 2026," Banyuwangi Ethno Carnival adalah sebuah karnaval berupa festival busana yang setiap tahun digelar dalam rangkaian. BEC adalah dari Taman Blambangan, Jawa Timur, Indonesia.",https://eventdaerah.kemenparekraf.go.id/detail-event/banyuwangi-ethno-carnival
Payakumbuh Botuang Festival,Payakumbuh | Sumatera Barat,Event Budaya,11 Juli 2026,13 Juli 2026," Payakumbuh Botuang Festival (PBF) ini akan menggelar beragam kegiatan mulai dari pameran instalasi botuang. Festival ini mengangkat nilai budaya melalui marandang robuang, yakni prosesi memasak rendang dengan tunas bambu.",https://eventdaerah.kemenparekraf.go.id/detail-event/payakumbuh-botuang-festival-2
Manakarra Fair,Mamuju | Sulawesi Barat,Event Budaya,12 Juli 2026,14 Juli 2026," Manakarra Fair adalah event berbasis komunitas yang dikolaborasikan dengan program Pemerintah Daerah dan swasta. Event ini akan menjadi ruang ekspresi, promosi kom unitas lokal Mamuju, dapat diapresiasi oleh para pengunjung.",https://eventdaerah.kemenparekraf.go.id/detail-event/manakarra-fair-2
Timika Inside Festival of Art,Mimika | Papua Tengah,Event Seni,18 Juli 2026,20 Juli 2026, Timika Inside Festival of Art (TIFA) hadir sebagai ruang bagi pelaku seni di Tanah Papua. TIFA 2024 akan menjadi pengalaman baru untuk semua pengunjung.,https://eventdaerah.kemenparekraf.go.id/detail-event/timika-inside-festival-art-2
Samosir Music International,Samosir | Sumatera Utara,Event Musik,18 Juli 2026,20 Juli 2026," Samosir Music International (SMI) adalah sebuah festival musik yang merayakan kekayaan budaya dan musik dari Tanah Batak, Sumatra Utara. Festival ini memberikan dampak positif bagi semua yang terlibat, dan kami mengundang Anda untuk menjadi bagian dari perjalanan musik",https://eventdaerah.kemenparekraf.go.id/detail-event/samosir-music-international-2
Keroncong Plesiran,Bantul | Daerah Istimewa Yogyakarta,Event Musik,20 Juli 2026,20 Juli 2026, Keroncong Plesiran adalah pertunjukan musik keroncong yang menonjolkan kebebasan berekspresi dan improvisasi. Penonton diajak untuk menyaksikan musik  yang kedelapan kali sejak tahun 2018.,https://eventdaerah.kemenparekraf.go.id/detail-event/keroncong-plesiran-2
Eksotika Bromo,Probolinggo | Jawa Timur,Event Budaya,27 Juli 2026,28 Juli 2026, Eksotika Bromo merupakakan festival dan pesta budaya yang digelar di Lautan Pasir Bromo sebagai puncak kesenian yang dipadukan dengan keindahan alam Jawa Timur.,https://eventdaerah.kemenparekraf.go.id/detail-event/eksotika-bromo-2
Toraja International Festival,Toraja Utara | Sulawesi Selatan,Event Budaya,28 Juli 2026,30 Juli 2026, Toraja International Festival (TIF) adalah sebuah festival world music & dance yang bertujuan mengangkat Toraja. TIF yang ke sepuluh di tahun 2023 ini. Festival ini akan diawali oleh berbagai bentuk musik & dance dari daerah Nusantara & Mancanegara.,https://eventdaerah.kemenparekraf.go.id/detail-event/toraja-international-festival
